recipe_id,user_id,click
219106,3408181,3
219110,3408181,1
219108,3408181,1
270770,3408181,5
271049,3408181,1
264183,3408181,1
265113,3408181,1
219593,3408181,1
264184,3408181,3
219162,3408181,1
220182,3408181,1
220435,3408181,1
220598,3408181,1
220943,3408181,1
221079,3408181,1
235613,3408181,1
222388,3408181,1
233970,3408181,1
238263,3408181,1
238131,3408181,1
240524,3408181,1
222334,3408181,2
238402,3408181,2
237930,3408181,2
221958,3408181,2
238843,3408181,2
256997,3408181,1
265562,3408181,1
244632,3408181,1
245585,3408181,1
256547,3408181,2
219075,3408181,1
